params,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,mean_cv_mse,std_cv_mse,mean_cv_rmse,std_cv_rmse,mean_cv_mae,std_cv_mae,mean_cv_r2,std_cv_r2
"{'max_depth': 28, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",28.0,0.3,2,3,300,44914397.588029094,11976963.446358362,6660.960114346651,904.9927705060481,2846.3164067665207,157.4585417555813,0.8829486543314321,0.02992358881739938
"{'max_depth': 24, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",24.0,0.3,2,3,300,45100291.73277229,12107238.876439238,6674.362021927849,910.9198644937113,2881.990989950406,163.03809181580726,0.8824636052236629,0.0302635324555999
"{'max_depth': 24, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",24.0,0.3,2,2,300,45100291.7327723,12107238.876439238,6674.362021927849,910.9198644937109,2881.990989950406,163.03809181580706,0.8824636052236629,0.0302635324555999
"{'max_depth': 24, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",24.0,0.3,2,2,500,45153256.763875715,12097198.670648204,6678.239030874868,911.9047732975275,2880.5549772945074,160.21236666060412,0.882327561157262,0.030230620587765163
"{'max_depth': 24, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 500}",24.0,0.3,2,3,500,45153256.763875715,12097198.670648204,6678.239030874868,911.9047732975275,2880.5549772945074,160.21236666060435,0.882327561157262,0.030230620587765163
"{'max_depth': None, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",,0.4,2,2,500,45305851.6187348,12088951.335688999,6689.8340839964,909.9216015692001,2834.555906961467,165.36114411448153,0.8819290902389522,0.03020347880313142
"{'max_depth': None, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 500}",,0.4,2,3,500,45305851.6187348,12088951.335689003,6689.8340839964,909.9216015692004,2834.555906961467,165.3611441144817,0.8819290902389522,0.03020347880313148
"{'max_depth': None, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",,0.4,2,3,300,45382946.524967134,12100562.616886944,6695.345609451949,912.6557633847821,2834.098963719949,163.3375095700496,0.8817307399207275,0.030226295102189767
"{'max_depth': None, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",,0.4,2,2,300,45382946.524967134,12100562.616886944,6695.345609451949,912.6557633847821,2834.098963719949,163.33750957004983,0.8817307399207275,0.030226295102189767
"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",,0.2,2,2,300,45426892.149481885,12366482.773271311,6696.898179055956,931.4882679123541,2891.4652991599123,147.68751190328905,0.8816205462519736,0.03092432758513314
"{'max_depth': None, 'max_features': 0.2, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",,0.2,2,3,300,45426892.149481885,12366482.773271311,6696.898179055956,931.4882679123541,2891.4652991599123,147.68751190328905,0.8816205462519736,0.03092432758513314
"{'max_depth': 28, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",28.0,0.4,2,3,300,45559444.71172065,12330799.07807301,6707.554569066403,923.1655442419838,2839.532218325752,160.39385056316783,0.881269127818122,0.030834548776218895
"{'max_depth': 28, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",28.0,0.4,2,2,300,45559444.71172065,12330799.07807301,6707.554569066403,923.1655442419836,2839.532218325752,160.39385056316806,0.8812691278181221,0.030834548776218895
"{'max_depth': 28, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",28.0,0.4,2,2,500,45602974.95023956,12121820.959792221,6711.966241096251,910.3439970339437,2839.2676392754042,159.73269694473063,0.8811548146692395,0.030277865743559944
"{'max_depth': 28, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 500}",28.0,0.4,2,3,500,45602974.95023956,12121820.959792221,6711.966241096252,910.3439970339437,2839.2676392754042,159.7326969447309,0.8811548146692395,0.030277865743559944
"{'max_depth': 24, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 500}",24.0,0.4,2,3,500,45660963.54403019,12072514.325877633,6716.206958752825,911.203296112049,2857.7959875685942,154.9701649773043,0.8810075807723768,0.03013725262411417
"{'max_depth': 24, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",24.0,0.4,2,2,500,45660963.54403019,12072514.325877635,6716.206958752827,911.2032961120491,2857.7959875685942,154.9701649773045,0.8810075807723768,0.03013725262411417
"{'max_depth': 24, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 3, 'n_estimators': 300}",24.0,0.4,2,3,300,45703261.88103453,12111399.936461326,6719.162826680221,913.328628911737,2857.306132030693,153.71170130357882,0.8808975394466728,0.030238554038099306
"{'max_depth': 24, 'max_features': 0.4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",24.0,0.4,2,2,300,45703261.88103453,12111399.936461326,6719.162826680221,913.328628911737,2857.306132030693,153.7117013035786,0.8808975394466728,0.030238554038099306
